# Data Source: Yahoo Finance API (https://finance.yahoo.com/)
Price,CBOE SKEW Index,CBOE Volatility Index (VIX),Crude Oil Volatility Index (OVX),SKEW/VIX Ratio
Ticker,^SKEW,^VIX,^OVX,
Date,,,,
2012-01-03,117.0999984741211,22.969999313354492,40.06999969482422,5.0979539388162065
2012-01-04,117.62999725341797,22.219999313354492,39.040000915527344,5.293879427922435
2012-01-05,117.76000213623047,21.479999542236328,38.70000076293945,5.482309341053655
2012-01-06,118.29000091552734,20.6299991607666,37.119998931884766,5.733882972738412
2012-01-09,119.06999969482422,21.06999969482422,36.52000045776367,5.651162858064654
2012-01-10,118.98999786376953,20.690000534057617,35.439998626708984,5.751087230176781
2012-01-11,120.19999694824219,21.049999237060547,35.52000045776367,5.710213838707345
2012-01-12,120.77999877929688,20.469999313354492,36.59000015258789,5.900342102136799
2012-01-13,121.91999816894531,20.90999984741211,35.619998931884766,5.830702967892873
2012-01-17,125.62999725341797,22.200000762939453,33.970001220703125,5.659008690807972
2012-01-18,130.77999877929688,20.889999389648438,32.59000015258789,6.260411804707947
2012-01-19,129.60000610351562,19.8700008392334,33.5099983215332,6.522395602904046
2012-01-20,129.24000549316406,18.280000686645508,33.349998474121094,7.070021916770529
2012-01-23,125.83000183105469,18.670000076293945,33.15999984741211,6.7396894117223995
2012-01-24,127.37999725341797,18.90999984741211,33.22999954223633,6.736118364953361
2012-01-25,125.22000122070312,18.309999465942383,31.93000030517578,6.838886120866322
2012-01-26,122.95999908447266,18.56999969482422,31.969999313354492,6.621432477392218
2012-01-27,121.5,18.530000686645508,31.56999969482422,6.556934457512704
2012-01-30,121.98999786376953,19.399999618530273,31.739999771118164,6.288144343428156
2012-01-31,121.95999908447266,19.440000534057617,32.310001373291016,6.2736623319946245
2012-02-01,121.38999938964844,18.549999237060547,32.18000030517578,6.543935546214288
2012-02-02,122.26000213623047,17.979999542236328,31.809999465942383,6.799777822520674
2012-02-03,122.13999938964844,17.100000381469727,30.709999084472656,7.14268986344611
2012-02-06,123.62999725341797,17.760000228881836,31.200000762939453,6.961148404287024
2012-02-07,123.0199966430664,17.649999618530273,32.40999984741211,6.96997163183567
2012-02-08,124.76000213623047,18.15999984741211,32.31999969482422,6.870044228222248
2012-02-09,126.4800033569336,18.6299991607666,32.43000030517578,6.789050405503566
2012-02-10,129.58999633789062,20.790000915527344,32.83000183105469,6.233284782643
2012-02-13,127.88999938964844,19.040000915527344,33.29999923706055,6.716911409670818
2012-02-14,129.9600067138672,19.540000915527344,33.63999938964844,6.6509723963521035
2012-02-15,128.8800048828125,21.139999389648438,34.849998474121094,6.09649993395557
2012-02-16,130.2899932861328,19.219999313354492,33.9900016784668,6.778876063518086
2012-02-17,129.5399932861328,17.780000686645508,33.04999923706055,7.285713626739611
2012-02-21,128.4600067138672,18.190000534057617,34.68000030517578,7.062122206832712
2012-02-22,127.69999694824219,18.190000534057617,33.66999816894531,7.020340472730944
2012-02-23,127.80999755859375,16.799999237060547,33.209999084472656,7.607738295406991
2012-02-24,128.72000122070312,17.309999465942383,33.79999923706055,7.436164366958021
2012-02-27,126.9800033569336,18.190000534057617,34.119998931884766,6.980758638197156
2012-02-28,125.6500015258789,17.959999084472656,33.52000045776367,6.996102891481203
2012-02-29,124.58999633789062,18.43000030517578,32.52000045776367,6.760173319308163
2012-03-01,127.62999725341797,17.260000228881836,33.20000076293945,7.39455362461987
2012-03-02,125.19999694824219,17.290000915527344,32.90999984741211,7.241179312825016
2012-03-05,126.2300033569336,18.049999237060547,33.34000015258789,6.993352282129527
2012-03-06,126.48999786376953,20.8700008392334,34.34000015258789,6.060852552817424
2012-03-07,126.0199966430664,19.06999969482422,32.93000030517578,6.60828519453356
2012-03-08,125.08000183105469,17.950000762939453,32.119998931884766,6.968244931181377
2012-03-09,124.77999877929688,17.110000610351562,31.420000076293945,7.2928108900127615
2012-03-12,139.25,15.640000343322754,30.0,8.903452489977122
2012-03-13,122.88999938964844,14.800000190734863,29.450000762939453,8.303378230128697
2012-03-14,118.81999969482422,15.3100004196167,29.309999465942383,7.760940329079298
2012-03-15,136.50999450683594,15.420000076293945,29.440000534057617,8.852788186214125
2012-03-16,138.42999267578125,14.470000267028809,28.68000030517578,9.566689020124373
2012-03-19,128.85000610351562,15.039999961853027,26.850000381469727,8.567154682867463
2012-03-20,128.02000427246094,15.579999923706055,27.8700008392334,8.216945115491919
2012-03-21,124.5999984741211,15.130000114440918,26.93000030517578,8.235293954505385
2012-03-22,121.16999816894531,15.569999694824219,27.510000228881836,7.782273638015848
2012-03-23,122.9800033569336,14.819999694824219,28.170000076293945,8.298246011427619
2012-03-26,118.0199966430664,14.260000228881836,27.889999389648438,8.276296966954584
2012-03-27,121.12999725341797,15.59000015258789,27.530000686645508,7.769723929945618
2012-03-28,121.61000061035156,15.470000267028809,28.030000686645508,7.861021235373784
2012-03-29,121.69000244140625,15.479999542236328,28.940000534057617,7.8611115012879536
2012-03-30,124.97000122070312,15.5,29.0,8.06258072391633
2012-04-02,123.12999725341797,15.640000343322754,28.459999084472656,7.872761799905352
2012-04-03,123.83999633789062,15.65999984741211,27.950000762939453,7.908045820214729
2012-04-04,121.0,16.440000534057617,28.729999542236328,7.360097084506331
2012-04-05,120.61000061035156,16.700000762939453,28.030000686645508,7.222155395226603
2012-04-09,119.05000305175781,18.809999465942383,29.84000015258789,6.329080618386578
2012-04-10,119.2699966430664,20.389999389648438,31.6200008392334,5.849436008498225
2012-04-11,118.43000030517578,20.020000457763672,30.690000534057617,5.915584295566243
2012-04-12,119.87000274658203,17.200000762939453,29.40999984741211,6.969185897064834
2012-04-13,118.19000244140625,19.549999237060547,29.610000610351562,6.045524657482124
2012-04-16,116.66999816894531,19.549999237060547,29.780000686645508,5.967775075293932
2012-04-17,121.83000183105469,18.459999084472656,28.739999771118164,6.599675399417008
2012-04-18,119.5,18.639999389648438,28.360000610351562,6.410944415929718
2012-04-19,117.5999984741211,18.360000610351562,28.309999465942383,6.405228462128535
2012-04-20,118.05000305175781,17.440000534057617,27.100000381469727,6.768921986052951
2012-04-23,117.19000244140625,18.969999313354492,26.90999984741211,6.177649271653209
2012-04-24,118.36000061035156,18.100000381469727,26.110000610351562,6.539226415239483
2012-04-25,122.52999877929688,16.81999969482422,25.68000030517578,7.284780083379032
2012-04-26,121.02999877929688,16.239999771118164,24.6200008392334,7.452586236764685
2012-04-27,120.08000183105469,16.31999969482422,24.34000015258789,7.357843387039846
2012-04-30,119.83000183105469,17.149999618530273,25.149999618530273,6.987172273845445
2012-05-01,120.18000030517578,16.600000381469727,25.1200008392334,7.239758888158249
2012-05-02,119.94000244140625,16.8799991607666,25.030000686645508,7.105450734865984
2012-05-03,116.18000030517578,17.559999465942383,27.459999084472656,6.616173339327651
2012-05-04,115.83000183105469,19.15999984741211,29.790000915527344,6.045407241832496
2012-05-07,116.68000030517578,18.940000534057617,29.06999969482422,6.160506706183224
